lon,lat,species
121.484883,51.76499999999999,杜香
122.485139,51.760417000000004,杜香
121.61374999999998,51.757917,杜香
121.897431,51.751647000000006,杜香
121.44541699999999,51.732917,杜香
121.685139,51.728211,杜香
121.722642,51.73069400000001,杜香
121.456806,51.717361,杜香
121.721806,51.722936,杜香
121.72599200000002,51.724028,杜香
121.46757199999999,51.70898600000001,杜香
121.582664,51.71152800000001,杜香
121.698761,51.709602999999994,杜香
121.95513900000002,51.715425,杜香
121.68904700000002,51.70625,杜香
121.918472,51.70265799999999,杜香
121.466169,51.6965,杜香
121.484325,51.698194,杜香
121.566269,51.693774999999995,杜香
121.45204399999999,51.68489699999999,杜香
121.51513900000002,51.687083,杜香
121.985697,51.687917,杜香
121.422222,51.680167,杜香
121.442083,51.682639,杜香
121.53903100000001,51.67515000000001,杜香
121.550972,51.680428,杜香
120.497919,51.670156,杜香
121.527639,51.669861,杜香
121.53821400000001,51.672103,杜香
121.53011399999998,51.666517,杜香
121.4496,51.645989,杜香
121.481817,51.636528,杜香
121.498475,51.632928,杜香
121.53903900000002,51.62849200000001,杜香
121.56486100000001,51.62875,杜香
121.518197,51.624322,杜香
121.63959400000002,51.61486099999999,杜香
121.51964999999998,51.5931,杜香
121.5291,51.59641,杜香
121.53779600000001,51.594,杜香
121.54360000000001,51.59187000000001,杜香
121.564586,51.595992,杜香
121.56759000000001,51.59969999999999,杜香
122.51455000000001,51.5983,杜香
122.59014,51.59729,杜香
121.5036,51.58966,杜香
121.51165999999999,51.589200000000005,杜香
121.537642,51.588761,杜香
121.56042000000001,51.58658,杜香
121.56757,51.5912,杜香
121.5951,51.59072,杜香
122.54859,51.59149,杜香
120.509333,51.582239,杜香
121.505,51.5804,杜香
121.51125,51.57705,杜香
121.54961,51.5753,杜香
121.56518,51.57716,杜香
121.56674000000001,51.57513,杜香
121.51973300000002,51.57326,杜香
121.54287,51.57272,杜香
121.59792000000002,51.56804,杜香
122.58500000000001,51.5731,杜香
121.51979999999999,51.562099999999994,杜香
121.53008000000001,51.55939999999999,杜香
121.59589999999999,51.56235,杜香
122.50389,51.562250000000006,杜香
121.51784,51.5556,杜香
121.5546,51.556,杜香
121.56609,51.5536,杜香
121.59776,51.55718999999999,杜香
121.76609000000002,51.55536000000001,杜香
121.85059,51.5541,杜香
121.50790000000002,51.54590999999999,杜香
121.5104,51.544940000000004,杜香
121.51903999999999,51.548823,杜香
121.95104,51.54494,杜香
122.16869400000002,51.548914,杜香
122.342361,51.549028,杜香
122.36469400000001,51.549722,杜香
121.5059,51.541,杜香
121.51488,51.535000000000004,杜香
121.5226,51.53995,杜香
121.52690999999999,51.537389999999995,杜香
121.54719999999999,51.541,杜香
121.50280000000001,51.53143,杜香
122.232083,51.530417,杜香
