species_cn,species_code,scenario,scenario_label,gcm,current_area_km2,future_area_km2,delta_km2,pct_change,lost_km2,stable_km2,gained_km2,unfilling_pct,stability_pct,expansion_pct
笃斯越桔,dusiyuejv,ssp245,SSP2-4.5,MIROC6,28849.284651815884,28931.497849764517,82.21319794863302,0.2849748232612007,1186.8180668325056,27662.466584983504,1269.0312647799076,4.113856135971131,95.88614386402931,4.398830959228065
笃斯越桔,dusiyuejv,ssp245,SSP2-4.5,IPSL-CM6A-LR,28849.284651815884,19507.863516588164,-9341.42113522772,-32.38007890999729,9356.466394134064,19492.81825768069,15.045258907472613,32.43223014732579,67.5677698526703,0.05215123733241547
笃斯越桔,dusiyuejv,ssp585,SSP5-8.5,BCC-CSM2-MR,28849.284651815884,14210.330773125754,-14638.95387869013,-50.74286608964046,15137.195643652001,13712.089008162664,498.24176496288106,52.46991676342729,47.53008323656848,1.727050673790346
笃斯越桔,dusiyuejv,ssp585,SSP5-8.5,MIROC6,28849.284651815884,27268.135243883004,-1581.1494079328804,-5.480723099431711,2144.67763680916,26704.60701500679,563.5282288759588,7.434075619875608,92.56592438012461,1.953352520442784
笃斯越桔,dusiyuejv,ssp585,SSP5-8.5,IPSL-CM6A-LR,28849.284651815884,10210.52271078047,-18638.761941035416,-64.60736259490658,18649.299067049113,10199.985584766047,10.537126014425274,64.64388733422287,35.35611266577462,0.036524739318837936
小黄花菜,xiaohuanghuacai,ssp126,SSP1-2.6,BCC-CSM2-MR,20720.529642520723,8.170828441244126,-20712.358814079478,-99.96056650779583,20712.358814079482,8.170828441244126,0,99.96056650779586,0.03943349220416026,0
小黄花菜,xiaohuanghuacai,ssp126,SSP1-2.6,MIROC6,20720.529642520723,8986.173546608165,-11734.356095912559,-56.63154513112646,11735.38803614039,8985.141606382662,1.031940225502968,56.636525410326044,43.36347458968519,0.004980279188352971
小黄花菜,xiaohuanghuacai,ssp126,SSP1-2.6,IPSL-CM6A-LR,20720.529642520723,10237.262451322176,-10483.267191198547,-50.59362560735789,10514.217822020935,10206.311820502022,30.95063082019233,50.742997420513056,49.257002579497716,0.149371813144575
小黄花菜,xiaohuanghuacai,ssp245,SSP2-4.5,BCC-CSM2-MR,20720.529642520723,0,-20720.529642520723,-100,20720.529642520723,0,0,100,0,0
小黄花菜,xiaohuanghuacai,ssp245,SSP2-4.5,MIROC6,20720.529642520723,8021.334392674315,-12699.195249846409,-61.287985726901084,12720.317877345944,8000.2117651771005,21.122627497213365,61.38992630401929,38.61007369599191,0.10194057710700355
小黄花菜,xiaohuanghuacai,ssp245,SSP2-4.5,IPSL-CM6A-LR,20720.529642520723,11346.532534895416,-9373.997107625308,-45.24014235808371,9612.084074856932,11108.445567665727,238.08696722989973,46.38918136113623,53.610818638873106,1.1490390030442081
小黄花菜,xiaohuanghuacai,ssp585,SSP5-8.5,BCC-CSM2-MR,20720.529642520723,0,-20720.529642520723,-100,20720.529642520723,0,0,100,0,0
小黄花菜,xiaohuanghuacai,ssp585,SSP5-8.5,MIROC6,20720.529642520723,8792.67523202431,-11927.854410496413,-57.56539343482413,11978.9366200417,8741.593022481271,51.08220954306412,57.811922893417034,42.188077106593816,0.2465294585821687
小黄花菜,xiaohuanghuacai,ssp585,SSP5-8.5,IPSL-CM6A-LR,20720.529642520723,12513.822049760374,-8206.70759276035,-39.60664970609301,9605.911037880083,11114.618604642557,1399.2034451179493,46.35938947317126,53.640610526837996,6.752739767069639
短瓣金莲花,duanbaijinlianhua,ssp126,SSP1-2.6,BCC-CSM2-MR,21478.67377486748,34.45897078425885,-21444.214804083218,-99.83956658057454,21444.214804083203,34.45897078425885,0,99.83956658057447,0.16043341942545733,0
短瓣金莲花,duanbaijinlianhua,ssp126,SSP1-2.6,MIROC6,21478.67377486748,5026.275057397942,-16452.398717469536,-76.59876438330534,16452.398717471187,5026.275057397942,0,76.59876438331304,23.401235616694652,0
短瓣金莲花,duanbaijinlianhua,ssp126,SSP1-2.6,IPSL-CM6A-LR,21478.67377486748,9427.139946984054,-12051.533827883424,-56.10930150624619,12052.61513979584,9426.058635073265,1.0813119107904434,56.11433585763934,43.88566414236823,0.005034351385585561
短瓣金莲花,duanbaijinlianhua,ssp245,SSP2-4.5,BCC-CSM2-MR,21478.67377486748,0.5836760750846863,-21478.090098792392,-99.99728253205387,21478.090098792392,0.5836760750846863,0,99.99728253205387,0.0027174679461245627,0
短瓣金莲花,duanbaijinlianhua,ssp245,SSP2-4.5,MIROC6,21478.67377486748,5141.171535459708,-16337.502239407771,-76.06383155055192,16337.502239409396,5141.171535459708,0,76.06383155055948,23.93616844944808,0
短瓣金莲花,duanbaijinlianhua,ssp245,SSP2-4.5,IPSL-CM6A-LR,21478.67377486748,9900.015229629898,-11578.65854523758,-53.90769777781132,11634.915155176,9843.758619692746,56.25660993721671,54.16961623017056,45.83038376983535,0.26191845235362443
短瓣金莲花,duanbaijinlianhua,ssp585,SSP5-8.5,BCC-CSM2-MR,21478.67377486748,0,-21478.67377486748,-100,21478.67377486748,0,0,100,0,0
短瓣金莲花,duanbaijinlianhua,ssp585,SSP5-8.5,MIROC6,21478.67377486748,6760.055319100111,-14718.618455767368,-68.52666328490842,14718.618455768657,6760.055319100111,0,68.52666328491443,31.47333671509157,0
短瓣金莲花,duanbaijinlianhua,ssp585,SSP5-8.5,IPSL-CM6A-LR,21478.67377486748,8206.908122464401,-13271.765652403077,-61.79043357850414,13319.84061093196,8158.833163936804,48.074958527605986,62.01426005416455,37.98573994584144,0.22382647565446626
